date,symbol,side,posi_balance,posi_vwap,price,market_value
2023-02-14 16:00:00,SHSE.515400,多,64500,0.8606327303359604,0.893,57598.5
2023-02-15 16:00:00,SHSE.515400,多,64500,0.8606327303359604,0.928,59856.0
2023-02-16 16:00:00,SHSE.515400,多,64500,0.8606327303359604,0.91,58695.0
2023-02-17 16:00:00,SHSE.515400,多,64500,0.8606327303359604,0.87,56115.0
2023-02-20 16:00:00,SHSE.515400,多,32200,0.8606327303359604,0.899,28947.8
2023-02-21 16:00:00,SHSE.515400,多,32200,0.8606327303359604,0.894,28786.8
2023-02-22 16:00:00,SHSE.515400,多,32200,0.8606327303359604,0.903,29076.600000000002
2023-02-23 16:00:00,SHSE.515400,多,64900,0.8708948126331688,0.88,57112.0
2023-02-24 16:00:00,SHSE.515400,多,97800,0.8749670130192505,0.891,87139.8
2023-02-27 16:00:00,SHSE.515400,多,65600,0.8749670130192505,0.88,57728.0
2023-02-28 16:00:00,SHSE.515400,多,96600,0.8842840120730685,0.903,87229.8
2023-03-01 16:00:00,SHSE.515400,多,96600,0.8842840120730685,0.944,91190.4
2023-03-02 16:00:00,SHSE.515400,多,126800,0.8958867225227671,0.948,120206.4
2023-03-03 16:00:00,SHSE.515400,多,61200,0.8958867225227671,0.932,57038.4
2023-03-06 16:00:00,SHSE.515400,多,92200,0.9056753556175937,0.929,85653.8
2023-03-07 16:00:00,SHSE.515400,多,92200,0.9056753556175937,0.903,83256.6
2023-03-08 16:00:00,SHSE.515400,多,92200,0.9056753556175937,0.918,84639.6
2023-03-09 16:00:00,SHSE.515400,多,92200,0.9056753556175937,0.926,85377.2
2023-03-10 16:00:00,SHSE.515400,多,92200,0.9056753556175937,0.92,84824.0
2023-03-13 16:00:00,SHSE.515400,多,122700,0.9181847341992101,0.96,117792.0
2023-03-14 16:00:00,SHSE.515400,多,60700,0.9181847341992101,0.945,57361.5
